LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_CODE_2021,SA2_NAME_2021
loc92057462741c,MORTCHUP,ALIAS LOCALITY,3351,VIC,201031014,Beaufort
loc9214f734f5e9,BENA,GAZETTED LOCALITY,3946,VIC,205031089,Korumburra
loc923aef8e6b56,EUMEMMERRING,GAZETTED LOCALITY,3177,VIC,212021295,Doveton
loc9247fa9f924e,NANGILOC,GAZETTED LOCALITY,3494,VIC,215021398,Mildura Surrounds
loc9259ba2ec6ec,TOOLONG,GAZETTED LOCALITY,3285,VIC,217041478,Moyne - West
loc925cc1f23167,CALLIGNEE,GAZETTED LOCALITY,3844,VIC,205041094,Churchill
loc928fc8ce46d0,MODEWARRE,GAZETTED LOCALITY,3240,VIC,203011036,Winchelsea
loc928fc8ce46d0,WINCHELSEA,ALIAS LOCALITY,3240,VIC,203011036,Winchelsea
loc92bf5bc798e7,FLEMINGTON,GAZETTED LOCALITY,3031,VIC,206031115,Flemington
loc92c02e6239c4,TAHARA BRIDGE,GAZETTED LOCALITY,3315,VIC,217011420,Glenelg (Vic.)
loc92ee61d26f06,MOE,GAZETTED LOCALITY,3825,VIC,205041095,Moe - Newborough
loc92ee61d26f06,THORPDALE,ALIAS LOCALITY,3825,VIC,205041095,Moe - Newborough
loc930abd97fea8,SCOTCHMANS LEAD,GAZETTED LOCALITY,3352,VIC,201011005,Buninyong
loc930abd97fea8,SCOTCHMAN,ALIAS LOCALITY,3352,VIC,201011005,Buninyong
loc930abd97fea8,SCOTCHMANS,ALIAS LOCALITY,3352,VIC,201011005,Buninyong
loc93110f9d38e4,CORACK,GAZETTED LOCALITY,3480,VIC,215031400,Buloke
loc931939069973,DEVON NORTH,GAZETTED LOCALITY,3971,VIC,205051104,Yarram
loc931939069973,DAWSON,ALIAS LOCALITY,3971,VIC,205051104,Yarram
loc931939069973,NORTH DEVON,ALIAS LOCALITY,3971,VIC,205051104,Yarram
