LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_CODE_2021,SA2_NAME_2021
loc891bbdc703a3,ANDERSON,GAZETTED LOCALITY,3995,VIC,205031093,Wonthaggi - Inverloch
loc89314310e18d,BULLAHARRE,GAZETTED LOCALITY,3266,VIC,217031475,Corangamite - South
loc89314310e18d,BULLAHAREE,ALIAS LOCALITY,3266,VIC,217031475,Corangamite - South
loc895e8c019b87,TURTONS CREEK,GAZETTED LOCALITY,3960,VIC,205031087,Foster
loc89825e26f3b9,ROSANNA,GAZETTED LOCALITY,3084,VIC,209011198,Heidelberg - Rosanna
loc89825e26f3b9,BANYULE,ALIAS LOCALITY,3084,VIC,209011198,Heidelberg - Rosanna
loc898cebd58b27,SUTHERLAND,GAZETTED LOCALITY,3477,VIC,215011391,St Arnaud
loc899c1d7a9cc2,TYAAK,GAZETTED LOCALITY,3658,VIC,204011056,Kilmore - Broadford
loc89a34a2a749a,DINGWALL,GAZETTED LOCALITY,3579,VIC,215031401,Gannawarra
loc89a9a2ecd1f9,MONGANS BRIDGE,GAZETTED LOCALITY,3691,VIC,204031069,Bright - Mount Beauty
loc89aeba1beba9,KINGSTON,GAZETTED LOCALITY,3364,VIC,201021010,Creswick - Clunes
loc89cee4954cc2,BENTLEIGH EAST,GAZETTED LOCALITY,3165,VIC,208021426,Bentleigh East - North
loc89cee4954cc2,COATESVILLE,ALIAS LOCALITY,3165,VIC,208021426,Bentleigh East - North
loc89cee4954cc2,EAST BENTLEIGH,ALIAS LOCALITY,3165,VIC,208021426,Bentleigh East - North
loc89da05c8787d,GOSCHEN,GAZETTED LOCALITY,3585,VIC,215031405,Swan Hill Surrounds
loc89fc2edfdfe4,NORTH WANGARATTA,GAZETTED LOCALITY,3678,VIC,204021067,Wangaratta Surrounds
loc89fc2edfdfe4,N WANGARATTA,ALIAS LOCALITY,3678,VIC,204021067,Wangaratta Surrounds
loc89fc2edfdfe4,WANGARATTA NORTH,ALIAS LOCALITY,3678,VIC,204021067,Wangaratta Surrounds
loc8a1ff79e32d8,LOCKINGTON,GAZETTED LOCALITY,3563,VIC,216011408,Lockington - Gunbower
loc8a1ff79e32d8,PINE GROVE EAST,ALIAS LOCALITY,3563,VIC,216011408,Lockington - Gunbower
loc8a2760a591d1,MYSTIC PARK,GAZETTED LOCALITY,3579,VIC,215031401,Gannawarra
loc8a2760a591d1,LAKE CHARM,ALIAS LOCALITY,3579,VIC,215031401,Gannawarra
loc8a2c57a8fa9c,LEITCHVILLE,GAZETTED LOCALITY,3567,VIC,215031401,Gannawarra
loc8a2c57a8fa9c,COHUNA,ALIAS LOCALITY,3567,VIC,215031401,Gannawarra
loc8a30f3db249f,CODRINGTON,GAZETTED LOCALITY,3285,VIC,217041478,Moyne - West
loc8a4f8d6b9718,FLORA HILL,GAZETTED LOCALITY,3550,VIC,202011021,Flora Hill - Spring Gully
loc8a8448661e9e,CABBAGE TREE,GAZETTED LOCALITY,3364,VIC,201021010,Creswick - Clunes
loc8a8448661e9e,CABBAGE TREE CREEK,ALIAS LOCALITY,3364,VIC,201021010,Creswick - Clunes
loc8a8629abf63d,MOGLONEMBY,GAZETTED LOCALITY,3666,VIC,204011055,Euroa
loc8a88d985c5e1,NEWTOWN,GAZETTED LOCALITY,3351,VIC,201031015,Golden Plains - North
loc8a97c8ce83aa,BREAKWATER,GAZETTED LOCALITY,3219,VIC,203021039,Geelong
loc8a97c8ce83aa,BREAKWATER CREEK,ALIAS LOCALITY,3219,VIC,203021039,Geelong
loc8ab0f8663728,FERNY CREEK,GAZETTED LOCALITY,3786,VIC,211051282,Mount Dandenong - Olinda
loc8ad021760a61,CONDAH,GAZETTED LOCALITY,3303,VIC,217011420,Glenelg (Vic.)
loc8af2efa53ae5,NEWHAVEN,GAZETTED LOCALITY,3925,VIC,205031091,Phillip Island
loc8afd8b17cd24,BURROWYE,GAZETTED LOCALITY,3709,VIC,204031072,Towong
loc8b0cbde7b1f2,YANGERY,GAZETTED LOCALITY,3283,VIC,217041478,Moyne - West
loc8b0cbde7b1f2,KOROIT,ALIAS LOCALITY,3283,VIC,217041478,Moyne - West
loc8b1eae00903e,JEFFCOTT NORTH,GAZETTED LOCALITY,3480,VIC,215031400,Buloke
loc8b1eae00903e,NORTH JEFFCOTT,ALIAS LOCALITY,3480,VIC,215031400,Buloke
loc8b205223941d,BEMM RIVER,GAZETTED LOCALITY,3889,VIC,205021085,Orbost
loc8b5fb46310cd,TELANGATUK EAST,GAZETTED LOCALITY,3401,VIC,215011389,Horsham Surrounds
loc8b5fb46310cd,EAST TELANGATUK,ALIAS LOCALITY,3401,VIC,215011389,Horsham Surrounds
loc8b8341479b11,GERAHMIN,GAZETTED LOCALITY,3546,VIC,215031405,Swan Hill Surrounds
loc8b861551a212,WARRANDYTE,GAZETTED LOCALITY,3113,VIC,211021262,Warrandyte - Wonga Park
loc8b9f0793f5ab,PORT ALBERT,GAZETTED LOCALITY,3971,VIC,205051104,Yarram
loc8b9f0793f5ab,OLD SETTLEMENT BEACH,ALIAS LOCALITY,3971,VIC,205051104,Yarram
loc8b9f0793f5ab,PICNIC BEACH,ALIAS LOCALITY,3971,VIC,205051104,Yarram
loc8b9f0793f5ab,PT ALBERT,ALIAS LOCALITY,3971,VIC,205051104,Yarram
loc8ba36309839a,WOORINEN SOUTH,GAZETTED LOCALITY,3588,VIC,215031405,Swan Hill Surrounds
loc8ba36309839a,SOUTH WOORINEN,ALIAS LOCALITY,3588,VIC,215031405,Swan Hill Surrounds
loc8ba36309839a,WOORINEN,ALIAS LOCALITY,3588,VIC,215031405,Swan Hill Surrounds
loc8bbe850fb3d2,BELLARINE,GAZETTED LOCALITY,3223,VIC,203031051,Portarlington
loc8befb396f9eb,SALISBURY WEST,GAZETTED LOCALITY,3517,VIC,202031033,Loddon
loc8befb396f9eb,BRIDGEWATER ON LODDON,ALIAS LOCALITY,3517,VIC,202031033,Loddon
loc8befb396f9eb,WEST SALISBURY,ALIAS LOCALITY,3517,VIC,202031033,Loddon
loc8bf326f13a2b,COLERAINE,GAZETTED LOCALITY,3315,VIC,217011423,Southern Grampians
loc8c127a27890f,ARTHURS CREEK,GAZETTED LOCALITY,3099,VIC,209031212,Panton Hill - St Andrews
loc8c14c93b253e,GOLDEN BEACH,GAZETTED LOCALITY,3851,VIC,205051100,Longford - Loch Sport
loc8c14c93b253e,DELRAY BEACH,ALIAS LOCALITY,3851,VIC,205051100,Longford - Loch Sport
loc8c14c93b253e,THE WRECK BEACH,ALIAS LOCALITY,3851,VIC,205051100,Longford - Loch Sport
loc8c28aafe5f9e,BARWON DOWNS,GAZETTED LOCALITY,3243,VIC,217031473,Colac Surrounds
loc8c47868d94a0,BLIND BIGHT,GAZETTED LOCALITY,3980,VIC,212031308,Pearcedale - Tooradin
loc8c710d361161,VESPER,GAZETTED LOCALITY,3833,VIC,205011077,Mount Baw Baw Region
loc8c852c59ffe5,CARDIGAN,GAZETTED LOCALITY,3352,VIC,201011001,Alfredton
loc8c9914c41758,KOOYONG,GAZETTED LOCALITY,3144,VIC,208041194,Malvern - Glen Iris
loc8c9f2867857c,WILLIAMSTOWN,GAZETTED LOCALITY,3016,VIC,213021346,Williamstown
loc8cc91ff2d385,WUNGHNU,GAZETTED LOCALITY,3635,VIC,216021413,Numurkah
loc8cce38e90dec,MERRICKS BEACH,GAZETTED LOCALITY,3926,VIC,214021379,Hastings - Somers
loc8cd8a503d350,UPTON HILL,GAZETTED LOCALITY,3664,VIC,204011058,Nagambie
loc8cda2424fe34,WEHLA,GAZETTED LOCALITY,3518,VIC,202031033,Loddon
loc8ce71441c12b,WILLOWMAVIN,GAZETTED LOCALITY,3764,VIC,204011056,Kilmore - Broadford
loc8cebad1db2f1,LAKE EILDON,GAZETTED LOCALITY,3713,VIC,204011057,Mansfield (Vic.)
loc8cebad1db2f1,KIRBYS FLAT,ALIAS LOCALITY,3713,VIC,204011057,Mansfield (Vic.)
loc8d13e5004506,FORGE CREEK,GAZETTED LOCALITY,3875,VIC,205021086,Paynesville
loc8d1eb0e83c7f,PETERBOROUGH,GAZETTED LOCALITY,3270,VIC,217041477,Moyne - East
loc8d20359f8685,BUNG BONG,GAZETTED LOCALITY,3465,VIC,201031017,Maryborough Surrounds
loc8d20359f8685,HOMEBUSH LOWER,ALIAS LOCALITY,3465,VIC,201031017,Maryborough Surrounds
loc8d20359f8685,LOWER HOMEBUSH,ALIAS LOCALITY,3465,VIC,201031017,Maryborough Surrounds
loc8d20359f8685,MOORES FLAT,ALIAS LOCALITY,3465,VIC,201031017,Maryborough Surrounds
loc8d2c2c331dbf,BERRYBANK,GAZETTED LOCALITY,3323,VIC,217031474,Corangamite - North
loc8d2ec36eab33,KOORNALLA,GAZETTED LOCALITY,3844,VIC,205041094,Churchill
loc8d30c44dcdcb,LAURISTON,GAZETTED LOCALITY,3444,VIC,202021030,Kyneton
loc8d3773966002,COONOOER WEST,GAZETTED LOCALITY,3477,VIC,215011391,St Arnaud
loc8d3773966002,WEST COONOOER,ALIAS LOCALITY,3477,VIC,215011391,St Arnaud
loc8d4204d2b5b1,LANGDONS HILL,GAZETTED LOCALITY,3363,VIC,201021011,Daylesford
loc8d4d6f625c1d,MCINTYRE,GAZETTED LOCALITY,3472,VIC,202031033,Loddon
loc8d6ecd89ab09,SUGARLOAF CREEK,GAZETTED LOCALITY,3658,VIC,204011060,Seymour Surrounds
loc8d6ecd89ab09,PYALONG,ALIAS LOCALITY,3658,VIC,204011060,Seymour Surrounds
loc8d6f3b84e720,KALKEE,GAZETTED LOCALITY,3401,VIC,215011389,Horsham Surrounds
loc8d74d3bb472f,LAANECOORIE,GAZETTED LOCALITY,3463,VIC,202031033,Loddon
